Year,State,FAH,FAFH,Total nominal food sales,FAH,FAFH,Total constant dollar food sales
1997,Alabama,"6,059.91","3,589.84","9,649.74","4,469.23","2,784.98","7,254.21"
1998,Alabama,"6,250.84","3,837.32","10,088.16","4,524.20","2,901.21","7,425.41"
1999,Alabama,"6,665.19","4,116.11","10,781.29","4,733.01","3,036.59","7,769.61"
2000,Alabama,"6,917.94","4,526.75","11,444.69","4,804.24","3,262.47","8,066.71"
2001,Alabama,"7,172.26","4,338.01","11,510.26","4,822.87","3,038.35","7,861.22"
2002,Alabama,"7,034.19","4,555.46","11,589.65","4,670.77","3,111.92","7,782.69"
2003,Alabama,"7,237.90","4,890.67","12,128.58","4,704.23","3,271.19","7,975.42"
2004,Alabama,"7,486.39","5,357.04","12,843.44","4,688.04","3,479.93","8,167.98"
2005,Alabama,"8,254.02","5,750.37","14,004.39","5,070.70","3,621.48","8,692.18"
2006,Alabama,"8,498.28","6,154.75","14,653.03","5,131.53","3,759.52","8,891.06"
2007,Alabama,"8,639.27","6,503.83","15,143.10","5,005.53","3,833.21","8,838.74"
2008,Alabama,"8,791.12","6,648.16","15,439.27","4,787.13","3,752.83","8,539.96"
2009,Alabama,"8,478.94","6,636.27","15,115.21","4,595.70","3,620.24","8,215.93"
2010,Alabama,"8,771.76","6,794.69","15,566.45","4,738.73","3,660.07","8,398.79"
2011,Alabama,"9,127.67","7,145.09","16,272.76","4,705.05","3,760.88","8,465.93"
2012,Alabama,"9,832.60","7,500.22","17,332.82","4,946.55","3,838.57","8,785.12"
2013,Alabama,"10,204.54","7,899.00","18,103.54","5,087.67","3,958.14","9,045.82"
2014,Alabama,"10,592.28","8,547.42","19,139.70","5,157.77","4,181.35","9,339.12"
2015,Alabama,"10,961.59","9,236.09","20,197.68","5,276.04","4,392.62","9,668.67"
2016,Alabama,"11,036.19","9,679.17","20,715.36","5,382.72","4,487.80","9,870.52"
2017,Alabama,"11,371.77","10,239.90","21,611.67","5,557.46","4,639.51","10,196.96"
2018,Alabama,"11,751.30","10,704.46","22,455.76","5,717.25","4,725.76","10,443.01"
2019,Alabama,"11,805.97","11,094.40","22,900.37","5,693.62","4,751.23","10,444.86"
2020,Alabama,"12,759.20","9,714.73","22,473.94","5,945.35","4,025.44","9,970.79"
1997,Alaska,739.06,626.38,"1,365.44",545.06,485.94,"1,031.01"
1998,Alaska,965.17,671.69,"1,636.86",698.57,507.83,"1,206.40"
1999,Alaska,"1,012.55",700.07,"1,712.62",719.02,516.47,"1,235.49"
2000,Alaska,"1,128.96",749.88,"1,878.83",784.02,540.44,"1,324.46"
2001,Alaska,"1,244.86",792.49,"2,037.35",837.09,555.06,"1,392.15"
