ID,State_FIPS,Name,Region_type,State
101,1,Anniston,MSA,Alabama
101,1,Oxford,MSA,Alabama
101,1,Jacksonville,MSA,Alabama
102,1,Birmingham,CSA,Alabama
102,1,Hoover,CSA,Alabama
102,1,Talladega,CSA,Alabama
103,1,Chattanooga,CSA,Alabama
103,1,Cleveland,CSA,Alabama
103,1,Dalton,CSA,Alabama
104,1,Columbus,CSA,Alabama
104,1,Auburn,CSA,Alabama
104,1,Opelika,CSA,Alabama
105,1,Dothan,CSA,Alabama
105,1,Enterprise,CSA,Alabama
105,1,Ozark,CSA,Alabama
106,1,Florence,MSA,Alabama
106,1,Muscle Shoals,MSA,Alabama
107,1,Gadsden,MSA,Alabama
108,1,Huntsville,CSA,Alabama
108,1,Decatur,CSA,Alabama
108,1,Albertville,CSA,Alabama
109,1,Mobile,CSA,Alabama
109,1,Daphne,CSA,Alabama
109,1,Fairhope,CSA,Alabama
110,1,Montgomery,MSA,Alabama
111,1,Tuscaloosa,MSA,Alabama
199,1,Remainder of Alabama,RS,Alabama
401,4,Flagstaff,MSA,Arizona
402,4,Las Vegas,CSA,Arizona
402,4,Henderson,CSA,Arizona
403,4,Phoenix,MSA,Arizona
403,4,Mesa,MSA,Arizona
403,4,Scottsdale,MSA,Arizona
404,4,Prescott,MSA,Arizona
405,4,Sierra Vista,MSA,Arizona
405,4,Douglas,MSA,Arizona
406,4,Tucson,CSA,Arizona
406,4,Nogales,CSA,Arizona
407,4,Yuma,MSA,Arizona
499,4,Remainder of Arizona,RS,Arizona
501,5,Fayetteville,MSA,Missouri
501,5,Springdale,MSA,Missouri
501,5,Rogers,MSA,Missouri
502,5,Fort Smith,MSA,Oklahoma
503,5,Hot Springs,CSA,Arkansas
503,5,Malvern,CSA,Arkansas
504,5,Jonesboro,CSA,Arkansas
504,5,Paragould,CSA,Arkansas
505,5,Little Rock,CSA,Arkansas
505,5,North Little Rock,CSA,Arkansas
506,5,Memphis,CSA,Arkansas
506,5,Forrest City,CSA,Arkansas
507,5,Texarkana,MSA,Arkansas
599,5,Remainder of Arkansas,RS,Arkansas
601,6,Bakersfield,MSA,California
602,6,Chico,MSA,California
603,6,El Centro,MSA,California
604,6,Fresno,CSA,California
604,6,Madera,CSA,California
605,6,Los Angeles,CSA,California
605,6,Long Beach,CSA,California
606,6,Modesto,CSA,California
606,6,Merced,CSA,California
607,6,Redding,CSA,California
607,6,Red Bluff,CSA,California
608,6,Sacramento,CSA,California
608,6,Roseville,CSA,California
609,6,Salinas,MSA,California
610,6,San Diego,MSA,California
610,6,Carlsbad,MSA,California
611,6,San Jose,CSA,California
611,6,San Francisco,CSA,California
611,6,Oakland,CSA,California
612,6,San Luis Obispo,MSA,California
612,6,Paso Robles,MSA,California
612,6,Arroyo Grande,MSA,California
613,6,Santa Maria,MSA,California
613,6,Santa Barbara,MSA,California
614,6,Visalia,CSA,California
614,6,Porterville,CSA,California
614,6,Hanford,CSA,California
699,6,Remainder of California,RS,California
801,8,Colorado Springs,MSA,Colorado
802,8,Denver,CSA,Colorado
802,8,Aurora,CSA,Colorado
803,8,Edwards,CSA,Colorado
803,8,Glenwood Springs,CSA,Colorado
804,8,Fort Collins,MSA,Colorado
805,8,Grand Junction,MSA,Colorado
806,8,Pueblo,CSA,California
807,8,Steamboat Springs,CSA,Colorado
807,8,Craig,CSA,Colorado
899,8,Remainder of Colorado,RS,Colorado
901,9,Boston,CSA,Connecticut
901,9,Worcester,CSA,Connecticut
901,9,Providence,CSA,Connecticut
902,9,Hartford,MSA,Connecticut
902,9,West Hartford,MSA,Connecticut
902,9,East Hartford,MSA,Connecticut
903,9,New York,CSA,Pennsylvania
903,9,Newark,CSA,Pennsylvania
999,9,Remainder of Connecticut,RS,Connecticut
1001,10,Philadelphia,CSA,Maryland
1001,10,Reading,CSA,Maryland
1001,10,Camden,CSA,Maryland
1002,10,Salisbury,MSA,Delaware
1101,11,Washington,MSA,West Virginia
1101,11,Arlington,MSA,West Virginia
1101,11,Alexandria,MSA,West Virginia
1201,12,Cape Coral,CSA,Florida
1201,12,Fort Myers,CSA,Florida
1201,12,Naples,CSA,Florida
1202,12,Crestview,MSA,Florida
1202,12,Fort Walton Beach,MSA,Florida
1202,12,Destin,MSA,Florida
1203,12,Gainesville,CSA,Florida
1203,12,Lake City,CSA,Florida
1204,12,Homosassa Springs,MSA,Florida
1205,12,Jacksonville,CSA,Georgia
1205,12,St. Marys,CSA,Georgia
1205,12,Palatka,CSA,Georgia
1206,12,Lakeland,MSA,Florida
1206,12,Winter Haven,MSA,Florida
1207,12,Miami,CSA,Florida
1207,12,Fort Lauderdale,CSA,Florida
1207,12,Port St. Lucie,CSA,Florida
1208,12,North Port,CSA,Florida
1208,12,Sarasota,CSA,Florida
1209,12,Ocala,MSA,Florida
1210,12,Orlando,CSA,Florida
1210,12,Deltona,CSA,Florida
1210,12,Daytona Beach,CSA,Florida
1211,12,Palm Bay,MSA,Florida
1211,12,Melbourne,MSA,Florida
1211,12,Titusville,MSA,Florida
1212,12,Panama City,MSA,Florida
1213,12,Pensacola,MSA,Florida
1213,12,Ferry Pass,MSA,Florida
1213,12,Brent,MSA,Florida
1214,12,Sebring,MSA,Florida
1215,12,Tallahassee,CSA,Georgia
1215,12,Bainbridge,CSA,Georgia
1216,12,Tampa,MSA,Florida
1216,12,St. Petersburg,MSA,Florida
1216,12,Clearwater,MSA,Florida
1299,12,Remainder of Florida,RS,Florida
1301,13,Albany,MSA,Georgia
1302,13,Atlanta,CSA,Georgia
1302,13,,CSA,Georgia
1302,13,Athens,CSA,Georgia
1302,13,Clarke County,CSA,Georgia
1302,13,,CSA,Georgia
1302,13,Sandy Springs,CSA,Georgia
1303,13,Augusta,MSA,South Carolina
1303,13,Richmond County,MSA,South Carolina
1304,13,Brunswick,MSA,Georgia
1308,13,Macon,CSA,Georgia
1308,13,Warner Robins,CSA,Georgia
1309,13,Rome,CSA,Georgia
1309,13,Summerville,CSA,Georgia
1310,13,Savannah,CSA,Georgia
1310,13,Hinesville,CSA,Georgia
1310,13,Statesboro,CSA,Georgia
1312,13,Valdosta,MSA,Georgia
1399,13,Remainder of Georgia,RS,Georgia
1601,16,Boise City,CSA,Oregon
1601,16,Mountain Home,CSA,Oregon
1601,16,Ontario,CSA,Oregon
1602,16,Idaho Falls,CSA,Idaho
1602,16,Rexburg,CSA,Idaho
1602,16,Blackfoot,CSA,Idaho
1603,16,Lewiston,MSA,Washington
1604,16,Logan,MSA,Idaho
1605,16,Pocatello,MSA,Idaho
1606,16,Pullman,CSA,Idaho
1606,16,Moscow,CSA,Idaho
1607,16,Spokane,CSA,Idaho
1607,16,Spokane Valley,CSA,Idaho
1607,16,Coeur d'Alene,CSA,Idaho
1699,16,Remainder of Idaho,RS,Idaho
1701,17,Bloomington,CSA,Illinois
1701,17,Pontiac,CSA,Illinois
1702,17,Cape Girardeau,CSA,Illinois
1702,17,Sikeston,CSA,Illinois
1703,17,Carbondale,MSA,Illinois
1703,17,Marion,MSA,Illinois
1704,17,Champaign,MSA,Illinois
1704,17,Urbana,MSA,Illinois
1705,17,Chicago,CSA,Wisconsin
1705,17,Naperville,CSA,Wisconsin
1706,17,Danville,MSA,Illinois
1708,17,Decatur,MSA,Illinois
1709,17,Dixon,CSA,Illinois
1709,17,Sterling,CSA,Illinois
1710,17,Paducah,CSA,Illinois
1710,17,Mayfield,CSA,Illinois
1711,17,Peoria,CSA,Illinois
1711,17,Canton,CSA,Illinois
1712,17,Quincy,CSA,Missouri
1712,17,Hannibal,CSA,Missouri
1713,17,Rockford,CSA,Illinois
1713,17,Freeport,CSA,Illinois
1713,17,Rochelle,CSA,Illinois
1714,17,Springfield,CSA,Illinois
1714,17,Jacksonville,CSA,Illinois
1714,17,Lincoln,CSA,Illinois
1715,17,St. Louis,CSA,Illinois
1715,17,St. Charles,CSA,Illinois
1715,17,Farmington,CSA,Illinois
1799,17,Remainder of Illinois,RS,Illinois
1801,18,Bloomington,CSA,Indiana
1801,18,Bedford,CSA,Indiana
1803,18,Cincinnati,CSA,Indiana
1803,18,Wilmington,CSA,Indiana
1803,18,Maysville,CSA,Indiana
1804,18,Evansville,MSA,Kentucky
1805,18,Fort Wayne,CSA,Indiana
1805,18,Huntington,CSA,Indiana
