STATE,YEAR,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS
ALABAMA,2012,1723,7445050.0,5000.0
ALABAMA,2013,935,8394450.0,6000.0
ALABAMA,2014,890,38215160.0,0.0
ALABAMA,2015,892,14794500.0,0.0
ALASKA,2012,358,24145000.0,0.0
ALASKA,2013,269,30415600.0,80000.0
ALASKA,2014,172,1471000.0,0.0
ALASKA,2015,220,26703800.0,1000.0
AMERICAN SAMOA,2012,2,0.0,3000000.0
AMERICAN SAMOA,2013,4,0.0,4000000.0
AMERICAN SAMOA,2014,1,0.0,0.0
AMERICAN SAMOA,2015,14,13000000.0,10000000.0
ARIZONA,2012,498,21699000.0,0.0
ARIZONA,2013,561,154201200.0,16005000.0
ARIZONA,2014,570,28046500.0,0.0
ARIZONA,2015,518,10740500.0,50000.0
ARKANSAS,2012,1905,180559100.0,50200.0
ARKANSAS,2013,1341,72299100.0,85000.0
ARKANSAS,2014,1259,266334400.0,14435000.0
ARKANSAS,2015,1243,18253000.0,27257000.0
ATLANTIC NORTH,2012,755,9000.0,0.0
ATLANTIC NORTH,2013,461,5500.0,0.0
ATLANTIC NORTH,2014,553,6000.0,0.0
ATLANTIC NORTH,2015,632,1500.0,0.0
ATLANTIC SOUTH,2012,397,33000.0,0.0
ATLANTIC SOUTH,2013,301,4000.0,0.0
ATLANTIC SOUTH,2014,489,10100.0,0.0
ATLANTIC SOUTH,2015,448,2000.0,0.0
CALIFORNIA,2012,889,20684900.0,16375050.0
CALIFORNIA,2013,739,87660500.0,440355000.0
CALIFORNIA,2014,1141,126831500.0,1501245700.0
CALIFORNIA,2015,1143,108526400.0,200000.0
COLORADO,2012,1326,1162682750.0,245000.0
COLORADO,2013,1542,1003891750.0,7730000.0
COLORADO,2014,1458,215290800.0,10482000.0
COLORADO,2015,1292,8715100.0,1820000.0
CONNECTICUT,2012,253,7020500.0,0.0
CONNECTICUT,2013,203,5757500.0,0.0
CONNECTICUT,2014,170,514000.0,0.0
CONNECTICUT,2015,170,1501000.0,0.0
DELAWARE,2012,208,7425000.0,0.0
DELAWARE,2013,144,410000.0,0.0
DELAWARE,2014,161,415000.0,0.0
DELAWARE,2015,166,545500.0,0.0
DISTRICT OF COLUMBIA,2012,52,78000.0,20000.0
DISTRICT OF COLUMBIA,2013,24,2000.0,2500.0
DISTRICT OF COLUMBIA,2014,36,6000.0,3500.0
DISTRICT OF COLUMBIA,2015,21,13000.0,0.0
E PACIFIC,2012,38,10000.0,0.0
E PACIFIC,2013,7,0.0,0.0
E PACIFIC,2014,9,0.0,0.0
E PACIFIC,2015,5,15000.0,0.0
FLORIDA,2012,1406,128938850.0,310000.0
FLORIDA,2013,867,64202000.0,41260000.0
FLORIDA,2014,1121,210238290.0,0.0
FLORIDA,2015,1200,26002900.0,1000500.0
GEORGIA,2012,1804,60891750.0,494000.0
GEORGIA,2013,997,151231220.0,2000.0
GEORGIA,2014,1228,9043410.0,0.0
GEORGIA,2015,1355,33518170.0,14000.0
GUAM,2012,5,10055000.0,105000.0
GUAM,2013,15,20860000.0,500000.0
GUAM,2014,14,5800000.0,200000.0
GUAM,2015,25,37160000.0,5610000.0
GULF OF ALASKA,2012,2,0.0,0.0
GULF OF MEXICO,2012,581,3081000.0,0.0
GULF OF MEXICO,2013,603,12404000.0,0.0
GULF OF MEXICO,2014,532,6000.0,0.0
GULF OF MEXICO,2015,839,63000.0,0.0
HAWAII,2012,580,86000.0,112000.0
HAWAII,2013,732,114500.0,4000.0
HAWAII,2014,629,110000.0,0.0
HAWAII,2015,759,88500.0,30000.0
HAWAII WATERS,2012,1,0.0,0.0
HAWAII WATERS,2013,3,0.0,0.0
HAWAII WATERS,2014,3,0.0,0.0
HAWAII WATERS,2015,3,0.0,0.0
IDAHO,2012,333,475594800.0,4002000.0
IDAHO,2013,295,3430700.0,500.0
IDAHO,2014,392,8641600.0,78928000.0
IDAHO,2015,373,8734800.0,1000.0
ILLINOIS,2012,2134,20563900.0,1159189000.0
ILLINOIS,2013,1847,1562382000.0,620000.0
ILLINOIS,2014,1712,256002000.0,897000.0
