Name,State,YEAR,Region_type,FAH,FAFH,Total nominal food sales,FAH.1,FAFH.1,Total constant dollar food sales,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS,diversity,tons,FAH_diff,FAH_percent_change,FAFH_diff,FAFH_percent_change,Total nominal food sales_diff,Total nominal food sales_percent_change,Total constant dollar food sales_diff,Total constant dollar food sales_percent_change,NUMBER_OF_EVENTS_diff,NUMBER_OF_EVENTS_percent_change,DAMAGE_PROPERTY_diff,DAMAGE_PROPERTY_percent_change,DAMAGE_CROPS_diff,DAMAGE_CROPS_percent_change,diversity_diff,diversity_percent_change,tons_diff,tons_percent_change
Abilene,TEXAS,2013,MSA,57944.13,51265.36,109209.48,"28,889.19","25,688.78",54577.97,5269,1410698000.0,2247948100.0,0.5915482599173136,923.2434904936036,1660.0299999999988,2.949376466888509,4001.6500000000015,8.466643858469848,5661.669999999998,5.467686858852927,2073.4500000000044,3.949088573707571,455.0,9.451599501454089,-825234710.0,-36.90785086282852,965820600.0,75.3295284595331,-0.016196861773034477,-2.665074748438201,13.7794591572449,1.5151186503767011
Abilene,TEXAS,2014,MSA,61201.71,57007.11,118208.81,"29,801.38","27,887.53",57688.91,4708,1026154650.0,124285400.0,0.606197969981805,983.125640751633,3257.5800000000017,5.621932713460365,5741.75,11.200057894843617,8999.330000000002,8.240429310715513,3110.9400000000023,5.699992139685661,-561.0,-10.647181628392488,-384543350.0,-27.259083801068694,-2123662700.0,-94.47116239027049,0.01464971006449134,2.4765029427251006,59.882150258029355,6.486062547379978
Abilene,TEXAS,2015,MSA,62350.08,62135.25,124485.33,"30,010.40","29,551.13",59561.52,5278,2142740070.0,455955500.0,0.6061781199139905,988.576858657956,1148.3700000000026,1.8763691406661787,5128.139999999999,8.995614757527616,6276.520000000004,5.309688846372795,1872.6099999999933,3.246048503949872,570.0,12.107051826677996,1116585420.0,108.81258687469769,331670100.0,266.86167482262596,-1.985006781446419e-05,-0.0032745190181149297,5.451217906322995,0.5544782559180783
Akron,OHIO,2013,CSA,24875.86,22186.08,47061.94,"12,402.35","11,117.32",23519.67,1767,74367000.0,575500.0,0.5655001981586225,2485.2367,-167.4300000000003,-0.6685623174910282,1117.8100000000013,5.305656325839769,950.3700000000026,2.061022862591755,138.34999999999854,0.591711674105655,-39.0,-2.1594684385382035,-61428500.0,-45.236035067435964,382500.0,198.1865284974093,0.0007678410492988341,0.1359654780946462,-223.39319999999998,-8.247461198002725
Akron,OHIO,2014,CSA,25416.1,23042.63,48458.73,"12,376.04","11,272.31",23648.36,1473,96945350.0,76000.0,0.5665008284169559,2949.4460000000004,540.239999999998,2.171744012066301,856.5499999999993,3.860754130517874,1396.7900000000009,2.967982195379104,128.69000000000233,0.5471590375205171,-294.0,-16.6383701188455,22578350.0,30.36071106808127,-499500.0,-86.79409209383145,0.0010006302583334126,0.17694604910689637,464.20930000000044,18.678675556336355
Akron,OHIO,2015,CSA,25093.0,24741.25,49834.26,"12,077.79","11,766.78",23844.57,1416,37622150.0,780250.0,0.572442064490766,3041.1281,-323.09999999999854,-1.2712414571865782,1698.619999999999,7.371641171168397,1375.5299999999988,2.8385597393906004,196.20999999999913,0.829698127058287,-57.0,-3.8696537678207688,-59323200.0,-61.19241407659057,704250.0,926.6447368421053,0.00594123607381003,1.0487603505209941,91.68209999999954,3.108451553274727
Albany,GEORGIA,2013,MSA,21901.86,19761.83,41663.7,"10,919.60","9,902.54",20822.15,997,151231220.0,2000.0,0.6579893239162791,640.2632933914717,-286.2900000000009,-1.2902833269109903,1038.6600000000035,5.547458042628484,752.3699999999953,1.8390260106430079,77.39000000000306,0.3730580638195091,-807.0,-44.7339246119734,90339470.0,148.3607713688636,-492000.0,-99.59514170040485,-0.0031686154506659348,-0.479252423966936,-28.510158665508357,-4.263051796960271
Albany,GEORGIA,2014,MSA,22283.15,21866.64,44149.79,"10,850.49","10,697.03",21547.52,1228,9043410.0,0.0,0.6640419917694993,718.6930371679034,381.2900000000009,1.7409023708488736,2104.8099999999977,10.6508860768461,2486.090000000004,5.967040853308769,725.369999999999,3.4836460211841613,231.0,23.16950852557673,-142187810.0,-94.0201434597962,-2000.0,-100.0,0.006052667853220228,0.91987326134646,78.42974377643168,12.249608026252723
Albany,GEORGIA,2015,MSA,22058.86,24006.65,46065.51,"10,617.39","11,417.41",22034.8,1355,33518170.0,14000.0,0.6629423676016827,733.9110046152038,-224.29000000000087,-1.0065453044116324,2140.010000000002,9.786643032491504,1915.7200000000012,4.339137286949724,487.27999999999884,2.2614203397885113,127.0,10.342019543973935,24474760.0,270.63640816904245,14000.0,inf,-0.0010996241678166152,-0.1655955770035522,15.217967447300339,2.117450240963592
Albany,NEW YORK,2013,CSA,39851.43,41942.96,81794.38,"19,868.71","21,017.38",40886.09,1759,65748000.0,159000.0,0.6018320389749633,829.3376000000001,944.75,2.4282462548847583,2317.6100000000006,5.848806382782734,3262.350000000006,4.1541648675069265,1033.0099999999948,2.5920455834279155,156.0,9.731752963194019,28806250.0,77.97749159149201,-2844000.0,-94.7052947052947,-0.0033160689296704016,-0.5479764187237612,-13.793099999999981,-1.6359385324244524
