ID,State_FIPS,Name,Region_type,State,YEAR,FAH,FAFH,Total nominal food sales,FAH.1,FAFH.1,Total constant dollar food sales,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS,diversity,tons
101,1,Anniston,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.633608383884581,456.0476518095364
101,1,Oxford,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.633608383884581,456.0476518095364
101,1,Jacksonville,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.633608383884581,456.0476518095364
102,1,Birmingham,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.5566801015352665,882.5776
102,1,Hoover,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.5566801015352665,882.5776
102,1,Talladega,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.5566801015352665,882.5776
103,1,Chattanooga,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7363873148379985,1715.1499128694868
103,1,Cleveland,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7363873148379985,1715.1499128694868
103,1,Dalton,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7363873148379985,1715.1499128694868
104,1,Columbus,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.739540375472917,284.077588743492
104,1,Auburn,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.739540375472917,284.077588743492
104,1,Opelika,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.739540375472917,284.077588743492
105,1,Dothan,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.690809373038925,962.6636820355568
105,1,Enterprise,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.690809373038925,962.6636820355568
105,1,Ozark,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.690809373038925,962.6636820355568
106,1,Florence,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7996737447738184,843.0722078457644
106,1,Muscle Shoals,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7996737447738184,843.0722078457644
107,1,Gadsden,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.6321998952002099,643.021472160703
108,1,Huntsville,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7302290984025078,4258.164098685277
108,1,Decatur,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7302290984025078,4258.164098685277
108,1,Albertville,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7302290984025078,4258.164098685277
109,1,Mobile,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.4459427265044571,327.9601
109,1,Daphne,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.4459427265044571,327.9601
109,1,Fairhope,CSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.4459427265044571,327.9601
110,1,Montgomery,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.7305151189551922,1228.8604836747488
111,1,Tuscaloosa,MSA,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.5761099685486557,808.885788985306
199,1,Remainder of Alabama,RS,ALABAMA,2012,9832.6,7500.22,17332.82,"4,946.55","3,838.57",8785.12,1723,7445050.0,5000.0,0.6931641692885353,2938.5806265565684
401,4,Flagstaff,MSA,ARIZONA,2012,15209.5,11377.26,26586.76,"7,651.54","5,822.82",13474.36,498,21699000.0,0.0,0.4710997741423914,643.207272278059
402,4,Las Vegas,CSA,ARIZONA,2012,15209.5,11377.26,26586.76,"7,651.54","5,822.82",13474.36,498,21699000.0,0.0,0.391669241521402,182.50549295303068
402,4,Henderson,CSA,ARIZONA,2012,15209.5,11377.26,26586.76,"7,651.54","5,822.82",13474.36,498,21699000.0,0.0,0.391669241521402,182.50549295303068
